10000,300,100001,Food fall military make put fast how class.,1,wykolejenie
10001,275,100005,Wall smile hot appear hair election.,1,wykolejenie
10002,264,100013,Piece sea computer some black authority you reflect.,1,drobna usterka
10003,209,100015,Employee provide our. Property purpose company culture value.,1,drobna usterka
10004,219,100016,Eight today apply crime inside. Place billion election gas.,1,problem z silnikiem
10005,288,100020,Sort vote away run full scientist. Fact drop mean. Even idea image first.,1,drobna usterka
10006,210,100026,Walk reflect consumer drive. Establish plan century across.,1,wykolejenie
10007,285,100027,Tend various prove recently. He pretty dream send.,1,kolizja
10008,278,100028,Entire interview Republican manage. Carry prove history recognize.,0,drobna usterka
10009,285,100029,Those student also feel.,0,kolizja
10010,316,100034,Lay card member manager. Visit foreign full bank fast.,0,wykolejenie
10011,259,100037,Enter evidence no newspaper well sound sea.,0,kolizja
10012,233,100038,Suggest able although into. Total effort very join.,1,kolizja
10013,241,100040,System political range not challenge officer. Particular perform add.,1,drobna usterka
10014,294,100041,That poor center very themselves already product. Reality something eat rest.,1,wykolejenie
10015,299,100046,Perform maintain you environment. Strong action tend.,1,kolizja
10016,297,100047,Whose technology free benefit.,1,drobna usterka
10017,305,100052,Guess bring share suggest tax fall. Anyone different military me strong.,1,wykolejenie
10018,289,100059,Put population today. Old campaign yes national police.,1,kolizja
10019,229,100061,Hospital outside onto father eat none design. Blue back front bad accept.,1,kolizja
10020,301,100065,Statement travel anyone stand prepare within. Brother hope fight.,0,kolizja
10021,289,100067,Agent especially wind green five a. Yes ground left soldier feeling.,1,problem z silnikiem
10022,258,100068,Sense town reflect her maintain city. Century join feeling.,1,kolizja
10023,214,100069,Treat ready hundred action until site. Wind future small deep.,1,kolizja
10024,226,100072,Page loss generation since every.,1,problem z silnikiem
10025,248,100073,Establish spring part. Daughter ready also south. Economy their such through.,1,problem z silnikiem
10026,288,100082,Support up move message green pass tough. Test happy thought six action.,1,wykolejenie
10027,276,100088,Wrong lawyer art industry down.,1,wykolejenie
10028,214,100090,Year message member carry second.,1,drobna usterka
10029,202,100103,Write agent compare safe. Really off live establish concern they beyond.,1,drobna usterka
10030,283,100105,Power attention process news just brother.,1,wykolejenie
10031,213,100106,Maintain receive tell brother across soldier.,1,problem z silnikiem
10032,255,100109,Measure realize prevent media. Toward argue enjoy no home.,0,drobna usterka
10033,281,100110,Talk window old after today make recently. Color none on me appear.,0,wykolejenie
10034,209,100114,Agreement despite factor guy alone store. Address ok movie think.,1,kolizja
10035,213,100115,Artist across adult perform less language fast class.,1,drobna usterka
10036,282,100123,Adult fact assume treat open TV health.,0,problem z silnikiem
10037,213,100128,College technology according sort. Probably back likely stuff.,0,wykolejenie
10038,319,100131,Shake act identify main compare.,0,problem z silnikiem
10039,273,100133,Image family picture job arrive unit like concern.,1,drobna usterka
10040,203,100141,Watch father travel service. Relate no machine understand relationship.,0,drobna usterka
10041,240,100144,Account service reflect watch continue draw.,1,wykolejenie
10042,219,100157,Trade however future something. Public grow find just down community.,1,problem z silnikiem
10043,283,100167,Find fast why. Reveal baby certain. Accept entire together audience.,0,wykolejenie
10044,256,100170,Here character reflect smile several might address.,1,drobna usterka
10045,225,100172,People big each then. Able cut could form. It middle five.,0,kolizja
10046,206,100175,Share we once stage challenge our.,1,problem z silnikiem
10047,233,100177,Protect risk research man clearly. Last even but response leg. Red remain up.,0,wykolejenie
10048,264,100184,Amount agreement gun focus important exactly television.,1,problem z silnikiem
10049,296,100187,Well the each fire meeting animal.,0,drobna usterka
10050,202,100209,Book more safe. Phone important along east.,1,problem z silnikiem
10051,317,100213,Short try hard use be. Floor to seek like performance teach past pattern.,1,kolizja
10052,275,100229,House compare imagine take ok network your hotel. Provide degree the.,1,kolizja
10053,314,100233,Type them catch establish rest then. Choose pretty able form analysis.,0,wykolejenie
10054,305,100234,American born economic price individual to now agent.,1,drobna usterka
10055,269,100237,Modern us dog number scientist common none simply.,0,problem z silnikiem
10056,299,100247,There meet example word. Situation rich say area page your per.,1,drobna usterka
10057,282,100254,General claim town financial. Even career prove administration.,0,wykolejenie
10058,213,100259,Recognize language near structure. Above sing can bag.,0,drobna usterka
10059,316,100263,Each hospital add design research season color of. Role paper buy bank.,1,drobna usterka
10060,246,100265,Ability where maybe finish. Research treat company protect low.,1,wykolejenie
10061,308,100269,Education growth artist perform family. Fill instead wall particularly.,1,kolizja
10062,284,100272,Thank everyone base theory. Charge inside spring crime career ball item.,1,drobna usterka
10063,239,100278,Energy high result civil carry various senior.,1,problem z silnikiem
