100000,13720,308,209,2011-02-08 06:35,2011-07-10 04:52,2011-02-08 06:36,2011-07-10 04:53,0
100001,13649,300,245,2011-06-04 20:57,2011-08-08 13:02,2011-06-04 20:58,2011-08-08 13:02,1
100002,16715,283,317,2010-10-27 00:25,2011-06-23 15:46,2010-10-27 00:25,2011-06-23 15:46,0
100003,18999,272,226,2011-07-27 21:03,2011-09-23 02:21,2011-07-27 21:04,2011-09-23 02:22,0
100004,18994,260,227,2011-02-04 07:20,2011-05-22 17:58,2011-02-04 07:22,2011-05-22 17:58,0
100005,16258,232,283,2011-07-29 08:42,2011-09-30 03:47,2011-07-29 08:43,2011-09-30 03:48,1
100006,14129,263,212,2011-04-30 06:10,2011-05-30 09:06,2011-04-30 06:10,2011-05-30 09:06,0
100007,15340,233,239,2010-02-11 12:58,2011-08-03 12:20,2010-02-11 12:59,2011-08-03 12:21,0
100008,19857,214,265,2011-01-13 15:04,2011-05-05 22:11,2011-01-13 15:05,2011-05-05 22:12,0
100009,18899,309,281,2010-06-25 11:07,2011-05-02 21:40,2010-06-25 11:07,2011-05-02 21:40,0
100010,17672,239,243,2011-06-18 03:08,2011-09-21 17:42,2011-06-18 03:09,2011-09-21 17:42,0
100011,10766,288,221,2011-08-31 07:36,2011-09-13 00:02,2011-08-31 07:38,2011-09-13 00:03,0
100012,19998,269,211,2011-08-14 00:02,2011-08-22 13:53,2011-08-14 00:02,2011-08-22 13:54,0
100013,15303,254,265,2011-03-25 18:08,2011-05-15 20:51,2011-03-25 18:09,2011-05-15 20:52,1
100014,16168,318,249,2010-03-09 06:26,2010-05-19 17:24,2010-03-09 06:27,2010-05-19 17:24,0
100015,15374,207,294,2010-05-07 17:31,2010-06-25 19:38,2010-05-07 17:32,2010-06-25 19:38,1
100016,19205,204,279,2010-04-13 18:30,2011-06-18 18:44,2010-04-13 18:31,2011-06-18 18:46,1
100017,10274,204,208,2011-02-23 05:01,2011-05-18 01:13,2011-02-23 05:01,2011-05-18 01:14,0
100018,18867,291,319,2010-09-18 12:17,2011-08-19 02:14,2010-09-18 12:17,2011-08-19 02:15,0
100019,14799,237,231,2011-07-23 20:00,2011-07-31 10:35,2011-07-23 20:02,2011-07-31 10:37,0
100020,16555,201,287,2010-05-30 11:16,2011-06-04 10:45,2010-05-30 11:16,2011-06-04 10:45,1
100021,17672,284,250,2010-07-22 15:09,2011-02-17 02:10,2010-07-22 15:11,2011-02-17 02:11,0
100022,12975,291,300,2010-11-22 05:42,2011-09-02 11:19,2010-11-22 05:43,2011-09-02 11:19,0
100023,14743,206,319,2011-09-17 00:26,2011-09-29 23:07,2011-09-17 00:27,2011-09-29 23:08,0
100024,13176,248,230,2011-08-09 06:34,2011-09-02 07:24,2011-08-09 06:34,2011-09-02 07:25,0
100025,16471,306,284,2010-04-25 23:39,2011-03-18 09:39,2010-04-25 23:40,2011-03-18 09:40,0
100026,17787,277,262,2010-08-25 14:51,2010-08-30 19:44,2010-08-25 14:52,2010-08-30 19:45,1
100027,12691,209,287,2011-01-03 06:00,2011-03-26 06:27,2011-01-03 06:02,2011-03-26 06:29,1
100028,19905,292,291,2011-03-26 04:49,2011-03-28 15:06,2011-03-26 04:50,2011-03-28 15:07,1
100029,13101,232,270,2010-11-17 15:33,2011-04-24 10:32,2010-11-17 15:33,2011-04-24 10:34,1
100030,15969,201,237,2010-08-11 07:37,2011-09-24 22:44,2010-08-11 07:38,2011-09-24 22:45,0
100031,15966,246,277,2010-04-17 15:58,2011-01-01 02:20,2010-04-17 15:59,2011-01-01 02:20,0
100032,18922,225,317,2011-02-06 20:52,2011-05-01 07:16,2011-02-06 20:54,2011-05-01 07:18,0
100033,17604,205,274,2011-09-20 12:58,2011-09-21 22:49,2011-09-20 12:59,2011-09-21 22:51,0
100034,14487,236,269,2010-12-29 04:28,2011-08-09 19:48,2010-12-29 04:30,2011-08-09 19:48,1
100035,19972,306,313,2011-06-02 02:27,2011-07-17 21:02,2011-06-02 02:29,2011-07-17 21:03,0
100036,14768,319,242,2011-09-22 19:35,2011-09-28 15:14,2011-09-22 19:36,2011-09-28 15:15,0
100037,15931,314,293,2011-02-08 05:34,2011-04-02 20:37,2011-02-08 05:34,2011-04-02 20:38,1
100038,18596,266,270,2011-09-11 23:46,2011-09-27 20:33,2011-09-11 23:47,2011-09-27 20:35,1
100039,10960,304,254,2010-05-23 04:10,2011-03-24 20:32,2010-05-23 04:11,2011-03-24 20:33,0
100040,18096,223,298,2011-03-16 07:04,2011-09-28 16:41,2011-03-16 07:06,2011-09-28 16:42,1
100041,10556,253,205,2010-05-28 10:26,2011-09-11 17:50,2010-05-28 10:28,2011-09-11 17:50,1
100042,11067,310,275,2011-04-15 19:27,2011-09-16 00:35,2011-04-15 19:27,2011-09-16 00:36,0
100043,16844,244,271,2010-03-27 22:15,2011-04-01 09:12,2010-03-27 22:16,2011-04-01 09:13,0
100044,17960,222,266,2011-07-12 18:08,2011-09-17 21:31,2011-07-12 18:09,2011-09-17 21:32,0
100045,17797,265,251,2010-06-09 12:06,2010-07-26 18:28,2010-06-09 12:07,2010-07-26 18:28,0
100046,19087,314,243,2011-09-21 06:15,2011-09-27 09:46,2011-09-21 06:15,2011-09-27 09:46,1
100047,11657,227,314,2010-10-07 12:11,2011-09-10 04:32,2010-10-07 12:12,2011-09-10 04:32,1
100048,12608,279,241,2011-08-21 16:59,2011-09-18 08:25,2011-08-21 17:00,2011-09-18 08:26,0
100049,13154,318,309,2011-08-29 08:58,2011-09-14 16:10,2011-08-29 08:59,2011-09-14 16:10,0
100050,18567,261,241,2011-07-05 15:41,2011-08-21 15:49,2011-07-05 15:43,2011-08-21 15:49,0
100051,18670,272,208,2011-03-26 15:48,2011-08-02 12:43,2011-03-26 15:48,2011-08-02 12:44,0
100052,18058,281,293,2010-04-13 18:04,2010-12-07 04:00,2010-04-13 18:05,2010-12-07 04:01,1
100053,14854,207,219,2010-08-19 07:49,2011-08-07 02:58,2010-08-19 07:50,2011-08-07 02:58,0
100054,13246,312,313,2011-07-19 23:43,2011-09-22 20:55,2011-07-19 23:43,2011-09-22 20:55,0
100055,13529,296,290,2010-08-11 05:12,2011-01-20 16:30,2010-08-11 05:12,2011-01-20 16:32,0
100056,18336,231,301,2010-01-15 15:24,2010-10-14 16:19,2010-01-15 15:25,2010-10-14 16:20,0
