ID_DRIVER,DATE,DAY,NIGHT
4000,01-01-2008,85,75
4000,02-01-2008,87,73
4000,03-01-2008,80,80
4000,04-01-2008,83,77
4000,05-01-2008,84,76
4000,06-01-2008,77,83
4000,07-01-2008,73,87
4000,08-01-2008,89,71
4000,09-01-2008,83,77
4000,10-01-2008,79,81
4000,11-01-2008,74,86
4000,12-01-2008,77,83
4000,01-01-2009,88,72
4000,02-01-2009,81,79
4000,03-01-2009,82,78
4000,04-01-2009,90,70
4000,05-01-2009,86,74
4000,06-01-2009,73,87
4000,07-01-2009,80,80
4000,08-01-2009,89,71
4000,09-01-2009,79,81
4001,01-01-2008,83,77
4001,02-01-2008,75,85
4001,03-01-2008,79,81
4001,04-01-2008,90,70
4001,05-01-2008,86,74
4001,06-01-2008,71,89
4001,07-01-2008,89,71
4001,08-01-2008,76,84
4001,09-01-2008,90,70
4001,10-01-2008,89,71
4001,11-01-2008,87,73
4001,12-01-2008,88,72
4001,01-01-2009,74,86
4001,02-01-2009,71,89
4001,03-01-2009,81,79
4001,04-01-2009,75,85
4001,05-01-2009,76,84
4001,06-01-2009,88,72
4001,07-01-2009,71,89
4001,08-01-2009,89,71
4001,09-01-2009,74,86
4002,01-01-2008,72,88
4002,02-01-2008,74,86
4002,03-01-2008,82,78
4002,04-01-2008,77,83
4002,05-01-2008,86,74
4002,06-01-2008,75,85
4002,07-01-2008,84,76
4002,08-01-2008,85,75
4002,09-01-2008,73,87
4002,10-01-2008,88,72
4002,11-01-2008,82,78
4002,12-01-2008,78,82
4002,01-01-2009,83,77
4002,02-01-2009,88,72
4002,03-01-2009,74,86
4002,04-01-2009,80,80
4002,05-01-2009,83,77
4002,06-01-2009,74,86
4002,07-01-2009,77,83
4002,08-01-2009,82,78
4002,09-01-2009,73,87
4003,01-01-2008,90,70
4003,02-01-2008,86,74
4003,03-01-2008,84,76
4003,04-01-2008,90,70
4003,05-01-2008,74,86
4003,06-01-2008,90,70
4003,07-01-2008,78,82
4003,08-01-2008,81,79
4003,09-01-2008,77,83
4003,10-01-2008,72,88
4003,11-01-2008,73,87
4003,12-01-2008,89,71
4003,01-01-2009,84,76
4003,02-01-2009,75,85
4003,03-01-2009,83,77
4003,04-01-2009,73,87
4003,05-01-2009,79,81
4003,06-01-2009,81,79
4003,07-01-2009,86,74
4003,08-01-2009,74,86
4003,09-01-2009,90,70
4004,01-01-2008,74,86
4004,02-01-2008,74,86
4004,03-01-2008,81,79
4004,04-01-2008,82,78
4004,05-01-2008,89,71
4004,06-01-2008,77,83
4004,07-01-2008,89,71
4004,08-01-2008,74,86
4004,09-01-2008,85,75
4004,10-01-2008,75,85
4004,11-01-2008,88,72
4004,12-01-2008,72,88
4004,01-01-2009,86,74
4004,02-01-2009,86,74
4004,03-01-2009,82,78
4004,04-01-2009,75,85
4004,05-01-2009,79,81
4004,06-01-2009,71,89
4004,07-01-2009,78,82
4004,08-01-2009,80,80
4004,09-01-2009,83,77
4005,01-01-2008,82,78
4005,02-01-2008,90,70
4005,03-01-2008,88,72
4005,04-01-2008,89,71
4005,05-01-2008,80,80
4005,06-01-2008,76,84
4005,07-01-2008,87,73
4005,08-01-2008,78,82
4005,09-01-2008,82,78
4005,10-01-2008,86,74
4005,11-01-2008,85,75
4005,12-01-2008,85,75
4005,01-01-2009,85,75
4005,02-01-2009,75,85
4005,03-01-2009,71,89
4005,04-01-2009,81,79
4005,05-01-2009,75,85
4005,06-01-2009,84,76
4005,07-01-2009,76,84
4005,08-01-2009,86,74
4005,09-01-2009,86,74
4006,01-01-2008,81,79
4006,02-01-2008,88,72
4006,03-01-2008,80,80
4006,04-01-2008,85,75
4006,05-01-2008,84,76
4006,06-01-2008,86,74
4006,07-01-2008,84,76
4006,08-01-2008,85,75
4006,09-01-2008,86,74
4006,10-01-2008,88,72
4006,11-01-2008,83,77
4006,12-01-2008,87,73
4006,01-01-2009,88,72
4006,02-01-2009,81,79
4006,03-01-2009,88,72
4006,04-01-2009,79,81
4006,05-01-2009,90,70
4006,06-01-2009,77,83
4006,07-01-2009,75,85
4006,08-01-2009,86,74
4006,09-01-2009,76,84
4007,01-01-2008,79,81
4007,02-01-2008,72,88
4007,03-01-2008,74,86
4007,04-01-2008,80,80
4007,05-01-2008,80,80
4007,06-01-2008,88,72
4007,07-01-2008,75,85
4007,08-01-2008,73,87
4007,09-01-2008,89,71
4007,10-01-2008,71,89
4007,11-01-2008,82,78
4007,12-01-2008,83,77
4007,01-01-2009,77,83
4007,02-01-2009,90,70
4007,03-01-2009,74,86
4007,04-01-2009,84,76
4007,05-01-2009,78,82
4007,06-01-2009,85,75
4007,07-01-2009,90,70
4007,08-01-2009,81,79
4007,09-01-2009,89,71
4008,01-01-2008,83,77
4008,02-01-2008,72,88
4008,03-01-2008,81,79
4008,04-01-2008,76,84
4008,05-01-2008,87,73
4008,06-01-2008,79,81
4008,07-01-2008,74,86
4008,08-01-2008,86,74
4008,09-01-2008,81,79
4008,10-01-2008,85,75
4008,11-01-2008,79,81
4008,12-01-2008,84,76
4008,01-01-2009,90,70
4008,02-01-2009,83,77
4008,03-01-2009,71,89
4008,04-01-2009,80,80
4008,05-01-2009,81,79
4008,06-01-2009,76,84
4008,07-01-2009,77,83
4008,08-01-2009,80,80
4008,09-01-2009,84,76
4009,01-01-2008,82,78
4009,02-01-2008,78,82
4009,03-01-2008,81,79
4009,04-01-2008,86,74
4009,05-01-2008,73,87
4009,06-01-2008,83,77
4009,07-01-2008,89,71
4009,08-01-2008,89,71
4009,09-01-2008,72,88
4009,10-01-2008,84,76
4009,11-01-2008,75,85
4009,12-01-2008,85,75
4009,01-01-2009,89,71
4009,02-01-2009,73,87
4009,03-01-2009,78,82
4009,04-01-2009,82,78
4009,05-01-2009,90,70
4009,06-01-2009,84,76
4009,07-01-2009,89,71
4009,08-01-2009,74,86
4009,09-01-2009,90,70
4010,01-01-2008,76,84
4010,02-01-2008,87,73
4010,03-01-2008,84,76
4010,04-01-2008,74,86
4010,05-01-2008,83,77
4010,06-01-2008,86,74
4010,07-01-2008,82,78
4010,08-01-2008,86,74
4010,09-01-2008,76,84
4010,10-01-2008,84,76
4010,11-01-2008,83,77
4010,12-01-2008,85,75
4010,01-01-2009,80,80
4010,02-01-2009,81,79
4010,03-01-2009,89,71
4010,04-01-2009,84,76
4010,05-01-2009,73,87
4010,06-01-2009,81,79
4010,07-01-2009,87,73
4010,08-01-2009,82,78
4010,09-01-2009,85,75
4011,01-01-2008,83,77
4011,02-01-2008,86,74
4011,03-01-2008,71,89
4011,04-01-2008,89,71
4011,05-01-2008,82,78
4011,06-01-2008,89,71
4011,07-01-2008,72,88
4011,08-01-2008,82,78
4011,09-01-2008,87,73
4011,10-01-2008,76,84
4011,11-01-2008,79,81
4011,12-01-2008,76,84
4011,01-01-2009,88,72
4011,02-01-2009,72,88
4011,03-01-2009,75,85
4011,04-01-2009,81,79
4011,05-01-2009,72,88
4011,06-01-2009,73,87
4011,07-01-2009,89,71
4011,08-01-2009,79,81
4011,09-01-2009,72,88
4012,01-01-2008,80,80
4012,02-01-2008,83,77
4012,03-01-2008,88,72
4012,04-01-2008,82,78
4012,05-01-2008,84,76
4012,06-01-2008,89,71
4012,07-01-2008,71,89
4012,08-01-2008,85,75
4012,09-01-2008,89,71
4012,10-01-2008,87,73
4012,11-01-2008,74,86
4012,12-01-2008,80,80
4012,01-01-2009,80,80
4012,02-01-2009,90,70
4012,03-01-2009,81,79
4012,04-01-2009,88,72
4012,05-01-2009,88,72
4012,06-01-2009,76,84
4012,07-01-2009,86,74
4012,08-01-2009,85,75
4012,09-01-2009,86,74
4013,01-01-2008,79,81
4013,02-01-2008,84,76
4013,03-01-2008,85,75
4013,04-01-2008,75,85
4013,05-01-2008,82,78
4013,06-01-2008,71,89
4013,07-01-2008,73,87
4013,08-01-2008,83,77
4013,09-01-2008,81,79
4013,10-01-2008,88,72
4013,11-01-2008,83,77
4013,12-01-2008,80,80
4013,01-01-2009,89,71
4013,02-01-2009,80,80
4013,03-01-2009,80,80
4013,04-01-2009,89,71
4013,05-01-2009,82,78
4013,06-01-2009,82,78
4013,07-01-2009,77,83
4013,08-01-2009,71,89
4013,09-01-2009,79,81
