10000,2010-03-19 18:54,2010-07-27 22:25,2010-03-19 18:54,2010-07-27 22:26,367,4084
10001,2010-11-02 22:23,2011-04-11 02:00,2010-11-02 22:24,2011-04-11 02:01,308,4034
10002,2011-03-29 08:20,2011-08-29 04:15,2011-03-29 08:20,2011-08-29 04:15,307,4007
10003,2011-02-18 08:45,2011-09-09 21:43,2011-02-18 08:46,2011-09-09 21:43,304,4098
10004,2010-02-23 16:54,2010-11-08 01:00,2010-02-23 16:55,2010-11-08 01:02,310,4076
10005,2010-12-31 23:39,2011-09-14 12:55,2010-12-31 23:39,2011-09-14 12:56,308,4097
10006,2010-06-04 15:46,2010-07-22 06:56,2010-06-04 15:48,2010-07-22 06:56,309,4055
10007,2010-12-29 16:07,2011-02-12 02:21,2010-12-29 16:09,2011-02-12 02:23,376,4055
10008,2010-12-15 02:46,2011-06-11 21:48,2010-12-15 02:47,2011-06-11 21:49,300,4036
10009,2010-03-08 06:07,2010-12-16 21:20,2010-03-08 06:07,2010-12-16 21:20,336,4067
10010,2010-11-30 12:26,2011-04-17 23:49,2010-11-30 12:26,2011-04-17 23:50,328,4081
10011,2011-05-01 15:06,2011-07-27 10:53,2011-05-01 15:07,2011-07-27 10:54,343,4013
10012,2010-05-28 01:17,2010-10-28 09:25,2010-05-28 01:17,2010-10-28 09:25,319,4026
10013,2010-04-28 01:43,2011-07-15 11:25,2010-04-28 01:45,2011-07-15 11:27,354,4002
10014,2011-09-05 23:09,2011-09-09 14:11,2011-09-05 23:11,2011-09-09 14:12,322,4003
10015,2010-10-23 05:45,2011-03-13 12:42,2010-10-23 05:47,2011-03-13 12:42,357,4017
10016,2011-02-12 07:32,2011-05-16 01:59,2011-02-12 07:32,2011-05-16 02:00,302,4025
10017,2010-12-17 15:21,2011-09-22 09:02,2010-12-17 15:22,2011-09-22 09:02,353,4029
10018,2011-04-29 00:46,2011-06-16 15:21,2011-04-29 00:47,2011-06-16 15:22,369,4038
10019,2010-09-05 12:49,2011-08-12 16:11,2010-09-05 12:50,2011-08-12 16:11,339,4081
10020,2011-09-19 12:07,2011-09-25 10:38,2011-09-19 12:07,2011-09-25 10:39,323,4060
10021,2010-03-18 08:46,2011-06-20 05:20,2010-03-18 08:48,2011-06-20 05:21,366,4078
